# Displacement (mm)	Force (kN)
-0.010304	-0.003941
0.034500	0.541898
0.069000	0.963258
0.103500	1.384547
0.155250	2.016469
0.232875	2.964324
0.349313	4.386039
0.523969	6.518461
0.785953	9.713094
0.738094	9.129219
0.048094	0.706820
-0.641906	-7.715895
-0.668094	-8.033289
0.043813	0.657641
1.423813	17.407992
1.196187	14.566266
-0.183813	-2.013703
-1.563812	-18.788180
-1.056188	-12.561438
0.647625	7.721449
3.407625	39.021914
1.832375	20.215449
-0.927625	-8.607555
-3.687625	-39.828941
-1.552375	-16.348344
1.811437	17.960438
5.951437	56.766836
5.013563	46.457020
3.978563	37.389957
2.943563	28.237707
1.391062	14.370301
-0.937688	-7.335809
-4.430812	-43.552785
-4.076063	-36.519176
-1.456219	-13.273355
1.551500	14.468566
2.861422	27.621082
4.826304	44.482605
7.773629	66.047469
5.279047	45.411504
2.331723	21.297008
-2.089264	-15.942613
-7.609264	-62.292406
-2.870736	-22.866117
3.311579	26.736172
6.761580	54.614230
8.063420	63.021086
2.888420	23.548023
-2.286580	-16.567059
-9.186580	-71.282531
-9.519670	-69.552922
-8.225921	-59.996473
-7.983342	-58.356402
-7.740764	-56.613238
-7.376897	-53.985738
-7.013030	-51.394152
-6.649163	-48.796492
-6.103362	-44.876016
-5.284661	-38.979383
-4.056609	-30.113281
-2.214531	-16.721078
0.768019	5.707363
6.570564	53.951141
8.746518	63.721594
10.922472	77.544250
11.466461	80.210609
12.010449	82.957281
12.826432	86.895828
13.949594	91.684891
13.337606	86.635305
13.184609	85.621164
13.031612	84.581898
12.802117	83.090906
12.572622	81.632977
12.343127	80.186523
11.998884	78.007555
11.482520	74.736602
10.707974	69.826445
9.546155	62.450680
7.803426	51.370176
5.189332	34.676504
1.268193	9.378937
-4.613518	-32.382047
-9.024800	-59.048461
-12.333262	-77.208141
-12.358275	-75.027062
-12.151496	-73.694133
-11.944717	-72.395602
-11.634549	-70.464383
-11.169296	-67.599492
-10.471418	-63.327164
-9.424600	-57.046340
-7.854373	-47.606180
-5.499032	-33.409379
-1.966022	-11.911000
4.285922	29.023461
6.841045	43.540664
10.673732	66.684719
13.548245	83.170078
14.266874	86.735781
14.446531	87.535703
14.626188	88.331719
14.895675	89.436320
15.299903	90.996680
15.906246	93.255898
16.815760	96.190156
17.819969	98.344250
17.478901	95.703750
17.137833	93.437344
16.796764	91.235570
16.711498	90.707703
16.583597	89.913500
16.455696	89.132297
16.327797	88.362172
16.135946	87.232297
15.848169	85.595906
15.740253	85.009242
15.578380	84.098055
15.335568	82.775492
14.971352	80.800930
14.425027	77.859875
13.605540	73.438211
12.376309	66.809664
10.532463	56.841848
7.766693	41.831465
3.618039	19.157395
-2.604942	-15.959234
-4.938560	-30.017406
-8.438986	-48.786547
-11.064306	-62.094445
-13.033296	-71.649578
-15.002286	-79.871336
-16.971275	-86.166484
-17.059734	-84.206742
-16.567486	-81.203438
-16.075239	-78.462766
-15.582992	-75.755461
-15.090744	-73.086672
-14.598496	-70.460063
-13.860126	-66.600445
-12.752568	-61.122484
-11.645012	-55.671277
-10.537455	-50.216488
-8.876120	-41.962367
-6.384117	-29.752273
-2.646112	-11.320977
3.618871	21.467137
13.898384	75.432984
15.795884	81.378375
17.219009	87.390695
18.642134	92.615430
20.065260	96.452242
20.421041	96.815438
20.776821	97.097742
21.310493	97.514625
21.888998	97.607406
21.588808	95.412398
21.476236	94.682406
21.307379	93.572820
21.054094	91.996297
20.800808	90.461500
20.547522	88.997531
20.484201	88.628367
20.420879	88.292609
20.325897	87.764922
20.183424	86.987953
19.969715	85.860719
19.649149	84.221844
19.168303	81.847531
18.987986	81.007828
18.717508	79.735258
18.311794	77.942805
17.703222	75.302672
16.790363	71.371422
15.421077	65.457855
13.367146	56.571188
10.286251	43.169496
5.664907	22.915031
-1.267108	-8.121883
-11.665133	-59.412797
-15.460133	-68.329891
-19.255133	-79.891328
-20.203882	-81.635219
-21.152634	-83.125367
-21.898617	-83.590609
-21.661430	-82.070750
-21.572485	-81.546039
-21.439066	-80.735031
-21.238939	-79.556453
-20.938749	-77.844289
-20.826178	-77.221531
-20.657320	-76.270555
-20.404036	-74.888688
-20.024107	-72.882016
-19.454214	-70.027859
-18.599375	-66.058609
-17.744535	-62.399195
-16.889696	-59.009750
-15.607437	-53.889738
-13.684050	-46.493355
-10.798967	-36.339406
-6.471344	-21.074145
0.023743	1.974863
11.531286	47.226402
17.285057	68.708047
18.723501	74.059594
20.881165	81.780875
21.420582	83.300516
21.959997	84.874102
22.769121	87.001328
23.982807	89.703156
25.803337	92.530250
25.741531	90.827539
25.286398	87.988070
24.831266	85.499437
24.376133	83.164914
