# Displacement (mm)	Force (kN)
-0.005155	-0.002441
0.034500	1.151914
0.069000	2.168172
0.103500	3.183113
0.155250	4.705348
0.232875	6.988594
0.349313	10.413227
0.523969	15.549184
0.785953	23.094301
0.738094	21.710242
0.048094	1.676484
-0.641906	-18.639094
-0.668094	-19.405867
0.043813	1.417066
1.423813	41.116855
1.196187	32.888438
-0.183813	-3.698707
-1.563812	-43.812117
-1.056188	-28.247109
0.647625	16.229133
3.407625	80.653781
3.902375	82.124742
3.729875	78.231375
3.557375	74.897703
3.384875	71.501219
3.212375	68.105023
2.953625	62.978148
2.565500	55.214422
1.983312	43.610699
1.110031	26.115859
-0.199891	-0.877539
-2.164773	-50.108043
-3.870344	-74.823797
-1.905461	-37.010520
0.089133	0.827602
4.229133	94.607055
5.264132	95.860023
5.700867	100.236000
4.665867	82.808562
3.630867	65.388148
2.595867	47.901961
1.043367	21.286625
-1.285383	-21.070285
-3.031945	-55.109727
-5.651789	-93.385688
-4.383328	-71.725945
-2.909666	-48.122027
-1.436004	-24.357371
1.032652	17.354656
5.453639	97.350422
5.626139	92.122406
5.884889	96.673484
6.143639	100.269914
6.402389	103.588727
6.661139	106.787250
7.049264	111.409586
7.631451	117.788266
7.495267	113.322703
7.276947	109.966555
7.058627	106.775563
6.840307	103.604359
6.621986	100.450359
6.294506	95.672391
5.803285	88.502664
5.066454	77.736328
3.961207	61.533367
2.303338	37.069227
-0.183467	-0.421305
-3.913674	-67.775445
-6.566325	-94.019164
-2.426326	-34.656781
2.142093	31.524227
9.042092	131.353844
9.664157	130.376070
9.017282	120.680000
8.855563	118.568070
8.693845	116.385930
8.532125	114.237508
8.289548	111.055133
8.046969	107.899000
7.804391	104.749117
7.440524	99.983281
6.894723	92.838469
6.076022	82.093836
4.847970	65.937453
3.005893	41.573504
0.242776	4.420371
-3.901898	-61.575289
-7.010404	-94.325266
-9.341784	-116.988938
-9.924628	-120.135273
-9.492526	-113.059594
-9.346815	-111.176852
-9.201104	-109.199469
-9.055393	-107.251500
-8.909681	-105.311773
-8.691114	-102.410500
-8.363265	-98.136164
-8.035415	-93.956953
-7.707564	-89.858234
-7.215789	-83.814039
-6.478126	-75.122687
-5.371631	-62.046344
-3.711889	-42.346660
-1.222277	-12.464336
3.517000	50.021414
7.438140	95.626922
8.908567	110.782844
11.114209	131.453297
12.768440	139.838797
13.577329	141.791875
13.163772	135.878406
12.750214	130.926172
12.336656	126.090344
11.923098	121.427766
11.509541	116.874195
11.095983	112.494258
10.682425	108.144141
10.268867	103.819102
9.648530	97.243859
8.718025	87.370648
7.322268	72.532984
5.228632	50.200441
2.088178	16.194027
-2.622503	-38.642371
-6.155514	-74.496758
-8.805273	-97.860594
-9.136493	-99.731758
-9.467712	-102.312625
-9.964542	-105.928594
-10.709786	-110.738141
-11.455031	-114.371977
-12.200275	-116.913773
-12.945520	-118.428172
-13.690764	-118.850133
-13.877076	-118.485703
-13.936613	-117.086477
-13.750302	-113.859562
-13.563991	-110.716039
-13.377680	-107.661164
-13.098213	-103.306789
-12.679013	-97.340211
-12.050213	-89.535445
-11.107013	-79.839422
-9.692213	-67.144242
-7.570013	-51.169664
-4.386713	-28.834117
0.499162	5.817160
2.801370	23.606043
6.254683	59.427281
7.549675	67.888437
9.492163	84.494938
12.405895	108.768859
15.319627	130.541414
16.048059	135.327625
16.776493	138.812656
17.504927	140.990016
17.402424	135.955437
17.129261	132.693062
16.856100	129.682375
16.582937	126.826641
16.309774	124.091594
16.036612	121.491055
15.763450	118.944602
15.490287	116.559930
15.217125	114.294859
14.943962	112.078023
14.670800	109.895242
14.397637	107.737969
14.124475	105.614812
13.714731	102.458906
13.100116	97.659039
12.178193	90.513109
10.795308	79.728164
8.720982	63.549160
5.609491	38.499262
0.942255	1.736891
-6.058599	-65.095164
-8.683918	-61.673242
-12.621899	-80.847391
-16.559877	-87.477648
-17.544373	-86.275273
-17.471132	-80.993086
-17.101946	-77.701273
-16.548168	-73.461930
-15.717500	-67.092719
-14.471498	-59.741750
-12.602496	-51.269086
-9.798993	-38.803020
-5.593738	-20.623133
-4.016768	-14.005148
-1.651312	-4.091953
2.318400	13.430797
3.944651	27.673141
6.384027	43.276395
10.043093	65.469043
15.531690	100.630594
17.589914	113.432109
20.677250	129.765914
20.966688	130.511695
21.256124	131.436062
21.690281	132.734078
21.658484	130.115922
21.495674	128.331766
21.332867	126.671336
21.088654	124.348578
20.722334	121.068203
20.172853	116.665227
19.623375	112.789594
19.073895	109.184320
18.524416	105.905578
17.974936	102.648406
17.150717	97.734828
15.914388	90.371578
14.059895	79.326898
11.278155	62.481711
7.105546	37.814340
0.846632	0.424805
-8.541740	-68.212430
-12.062380	-53.579258
-12.942540	-56.778371
-13.822700	-60.265695
-15.142940	-65.489883
-17.123299	-73.397203
-20.093840	-77.923398
-20.935621	-74.232070
-20.749964	-72.829773
-20.564304	-71.508750
-20.285816	-69.562945
-19.868084	-66.673523
-19.241486	-62.353676
-18.301588	-57.389684
-16.891743	-52.055910
-14.776975	-44.343160
-11.604821	-33.271230
-6.846591	-17.576176
-5.062255	-11.910180
-2.385751	-3.570969
1.925188	10.370430
3.704455	22.664793
6.373355	36.225496
10.376706	58.173395
16.381733	88.289148
18.633617	100.085891
19.478073	104.606289
20.744759	111.402234
22.644787	120.872383
24.544815	128.098078
25.969835	131.979688
25.673908	128.279625
25.317654	124.899484
24.961399	121.781156
24.605143	118.980914
24.248888	116.437406
23.892633	114.059680
23.803570	113.589922
23.714506	113.031398
23.580910	112.249039
23.380516	111.089922
23.079926	109.384531
22.629040	106.995703
21.952711	103.640187
20.938219	98.599211
19.416481	91.054445
17.133873	79.767219
13.709961	62.920430
8.574093	37.788109
0.870291	0.135961
-2.018635	-16.986387
-6.352024	-24.710387
-7.977044	-28.588867
-10.414575	-35.979520
-14.070871	-47.373797
-19.555317	-64.927383
-21.611982	-71.439383
-23.668650	-74.210289
-25.725317	-75.577422
-25.760517	-74.016641
-25.631975	-73.095359
-25.439163	-71.875578
-25.149944	-70.061781
-24.716116	-67.358070
-24.065374	-63.335449
-23.089260	-58.161820
-22.723217	-56.906578
-22.174154	-55.113652
-21.350559	-52.461008
-20.115166	-48.571453
-18.262075	-42.926480
-15.482440	-34.860375
-11.312987	-23.529340
-9.749442	-19.399664
-7.404125	-13.592625
-3.886149	-5.000047
-2.566908	-1.714141
-0.588047	3.263098
2.746437	11.878793
4.030794	21.107340
5.957330	29.903980
8.847134	42.664254
13.181839	62.906488
19.683897	90.478742
22.122169	101.222461
23.036522	105.344234
24.408051	111.622266
26.465342	120.481352
26.979664	122.355898
27.493988	123.951906
28.265472	125.946250
28.554779	126.530250
28.988739	127.279359
29.639679	128.248422
29.709381	125.970227
29.058441	120.020984
28.407501	115.830734
27.756561	112.076953
27.105621	108.823344
26.129211	104.345742
24.664597	98.184133
22.467674	88.915492
19.172291	75.100773
14.229215	54.559391
6.814601	24.111297
4.034122	13.427609
-0.136598	-4.734719
-6.392679	-28.499785
-8.738709	-24.402965
-9.618470	-26.680352
-10.938112	-29.499672
-12.917575	-34.123879
-15.886769	-41.204047
-20.340561	-52.581445
-22.010733	-57.285594
-24.515991	-64.289477
-28.273878	-70.597805
-27.968237	-66.117961
-27.733368	-64.675715
-27.498501	-63.402371
-27.146198	-61.487316
-26.617746	-58.614500
