# Displacement (mm)	Force (kN)
-0.005875	-0.001125
0.034500	0.456055
0.069000	0.852949
0.103500	1.248984
0.155250	1.843023
0.232875	2.734062
0.349313	4.070570
0.523969	6.075203
0.785953	9.081887
0.738094	8.538699
0.048094	0.628793
-0.641906	-7.293176
-0.668094	-7.603785
0.043813	0.558840
1.423813	16.364406
1.196187	13.710078
-0.183813	-1.951605
-1.563812	-17.785762
-1.056188	-11.926184
0.647625	7.290328
3.407625	35.397500
1.832375	19.096438
-0.927625	-8.344312
-3.687625	-36.126469
-1.552375	-15.254816
1.811437	16.846781
5.951437	52.091406
2.943563	26.246783
-0.161438	-0.096820
-4.301437	-41.090957
-5.336438	-44.956504
-5.628562	-46.151637
-4.593563	-37.786734
-3.558563	-29.384906
-2.006063	-16.797441
0.430250	3.090727
5.087750	46.723844
6.467750	52.328969
7.847750	61.416168
6.772250	53.169559
5.392250	42.645266
4.012250	32.094959
1.942250	16.201363
-1.162750	-7.948637
-5.820250	-47.080813
-5.522250	-42.899703
-0.864750	-6.891770
4.740937	39.197727
6.465938	50.620164
9.053437	68.132875
9.700313	71.935547
9.652813	70.914242
8.682500	64.034230
7.712188	57.109039
6.741875	50.165250
5.286406	39.711297
3.103203	24.006746
-0.171602	0.257766
-5.083809	-40.793563
-8.016191	-55.994969
-2.841192	-19.914910
3.267332	22.899461
8.097332	57.124437
12.657668	83.707094
12.318058	81.290086
11.978449	79.080594
11.638840	76.881406
11.299231	74.696016
10.789816	71.389523
10.025695	66.437313
8.879514	59.016566
7.160241	47.856727
4.581333	31.085705
0.712970	5.785824
-5.089575	-35.757180
-13.793392	-82.827625
-13.798616	-82.291773
-13.390625	-79.727656
-13.288627	-79.101281
-13.186629	-78.493555
-13.084631	-77.873422
-12.982634	-77.270141
-12.829637	-76.341813
-12.600142	-74.968891
-12.255898	-72.894148
-11.739534	-69.800547
-10.964989	-65.156426
-9.803169	-58.199461
-8.060440	-47.760875
-5.446347	-32.085076
-1.525207	-8.471422
5.601218	36.569547
11.272867	68.576680
13.399735	80.462875
15.526604	90.118461
17.653473	96.549883
17.283092	93.527922
16.219660	87.483273
15.156225	81.535062
14.092791	75.564539
12.497639	66.585125
10.104912	53.104211
6.515821	32.819375
1.132186	2.192078
-6.943268	-47.061227
-12.999858	-74.914734
-13.378395	-76.934781
-13.756931	-78.645711
-14.324737	-81.141953
-14.892542	-83.431250
-15.460347	-85.169852
-15.602299	-85.720062
-15.744250	-86.061406
-15.957177	-86.647117
-16.276567	-87.508258
-16.755653	-88.780125
-17.474281	-90.614203
-17.447775	-89.781445
-16.908804	-86.655062
-16.369833	-83.712125
-15.830861	-80.775484
-15.022404	-76.353406
-13.809718	-69.796336
-11.990689	-59.907809
-9.262146	-45.092789
-5.169332	-22.808496
1.185421	12.229523
12.440661	75.399195
16.235662	89.427188
20.030663	97.021891
20.174337	95.298414
19.225588	90.284633
18.276838	85.418094
17.328089	80.558422
16.379337	75.708258
14.956213	68.404602
12.821526	57.436563
9.619494	40.958852
4.816448	16.115246
-2.388123	-21.771551
-13.194979	-73.525070
-14.143728	-76.882422
-15.566854	-80.668102
-16.989979	-84.234938
-17.345760	-85.934055
-17.701542	-86.825508
-18.235212	-88.163555
-19.035721	-90.027781
-20.236483	-92.336508
-21.962376	-95.302727
-21.512089	-92.932141
-21.061804	-90.595648
-20.386375	-87.158445
-19.710947	-83.726719
-19.035519	-80.308977
-18.022375	-75.244984
-16.502661	-67.651680
-14.223090	-56.242289
-10.803734	-39.099766
-5.674699	-13.254363
2.385917	28.409656
16.024487	87.977937
16.876898	88.912133
17.729309	90.409867
18.581718	91.738516
19.434130	92.923820
20.286541	94.024898
21.138950	95.000508
22.417566	95.910383
23.696182	96.428617
24.974798	96.712617
25.107277	95.800773
24.627796	93.405570
24.148315	91.059359
23.668835	88.776039
23.189354	86.536664
22.709873	84.288242
21.990650	80.915781
20.911819	75.848648
19.293570	68.242242
16.866198	56.822547
13.225139	39.665328
7.763551	13.865180
-0.428832	-25.341344
-12.717404	-74.019742
-15.789548	-77.861250
-18.861691	-82.635852
-19.629726	-85.037977
-20.397762	-86.890516
-21.549816	-89.257352
-23.277897	-92.430805
-25.005978	-95.160352
-25.265942	-94.705148
-24.833921	-92.430953
-24.725918	-91.957461
-24.563910	-91.131242
-24.320898	-89.976852
-23.956381	-88.198055
-23.409605	-85.597086
-22.589443	-81.736664
-21.359198	-76.139203
-19.513830	-67.710188
-16.745779	-55.064109
-12.593703	-36.029258
-6.365589	-7.363125
3.434519	39.100813
19.603664	90.537719
20.614235	90.561203
21.624807	91.592508
22.635378	92.421102
23.645950	93.201898
25.161808	94.377414
27.435593	95.528539
29.709379	95.701766
28.016834	87.666297
25.743050	77.904531
23.469263	68.082641
21.195478	58.261633
17.784800	43.499816
12.668780	21.365557
4.994754	-12.033730
-6.516287	-59.304195
-18.027328	-78.016602
-20.905088	-81.894203
-23.782850	-86.229531
-26.660610	-91.251656
-29.538370	-94.874070
-29.742189	-94.862414
-29.562330	-93.967594
-29.292540	-92.634086
-29.022749	-91.362977
-28.752960	-90.058094
-28.348274	-88.167625
-27.741247	-85.395016
-26.830706	-81.340375
-25.464893	-75.680047
-23.416176	-67.174172
-20.343100	-54.387227
-15.733483	-35.635781
-8.819060	-7.494285
1.759583	36.609797
19.391361	87.507109
23.799307	91.372805
24.901293	91.410633
26.003279	92.077766
26.416525	92.185289
27.036390	92.529508
27.966192	92.995711
29.360893	93.643602
31.452946	94.458383
33.544998	94.593914
33.408978	93.298312
33.016716	91.592539
32.428329	89.202148
31.839937	86.910344
31.251549	84.596750
30.368963	81.165164
29.045088	75.985594
27.059273	68.234305
24.080549	56.584133
19.612467	39.192258
12.910340	13.101988
2.857152	-25.978707
-0.912793	-38.842898
-6.567711	-57.886617
-8.688306	-64.251012
-11.869197	-71.001461
-15.050089	-73.427625
-18.230980	-76.043500
-21.411871	-78.999125
-26.183208	-83.543328
-30.954546	-89.063516
-32.147381	-91.382797
-33.340214	-92.162031
-33.787525	-92.388805
-33.541504	-90.340203
-32.870533	-86.991875
-32.199566	-83.785047
-31.193111	-79.280609
-29.683430	-73.105617
-28.173750	-67.557727
-26.664068	-61.995832
-24.399548	-54.209633
-21.002766	-43.030633
-15.907593	-26.292420
-8.264832	-2.057863
3.575696	37.160430
8.380519	55.661457
13.185343	71.913867
17.990166	82.231023
22.794989	87.098320
27.599813	90.931000
28.801018	90.992109
30.002224	91.533047
31.203430	91.960352
33.005238	92.613719
34.807049	93.136266
36.608856	93.600453
37.589336	93.486297
36.913658	90.636648
36.660278	89.703406
36.280209	88.330461
35.900139	87.002227
35.520069	85.652641
34.949966	83.661469
34.094810	80.633289
32.812080	76.109383
30.887980	69.410062
28.001829	59.671848
23.672607	45.035016
17.178772	23.039059
7.438018	-9.689398
-7.173112	-54.236547
-12.652286	-65.158961
-20.871046	-73.457289
-27.035118	-76.137625
-33.199188	-78.037250
-34.740208	-78.226906
-36.281223	-78.188125
-37.407249	-75.730969
-35.095722	-66.636969
-32.784199	-58.883391
-30.472672	-52.162531
-28.161144	-46.837738
-24.693855	-39.563039
-19.492920	-29.231174
-11.691519	-15.147359
-8.765993	-10.347184
-4.377705	-3.229363
