# Displacement (mm)	Force (kN)
2.436804	8.018629
5.165049	14.354422
9.257417	26.269549
15.395967	42.596172
24.603794	65.296586
28.056730	73.842453
29.351582	76.966805
31.293858	81.663570
34.207272	88.028156
35.299801	90.093516
36.938595	91.108656
38.577393	91.677383
40.216187	92.164062
41.854984	92.590453
40.506222	87.618898
38.867428	82.214195
37.228630	77.386602
34.770439	70.828281
31.083147	61.062688
25.552214	46.538020
17.255812	25.032953
4.811207	-6.769043
0.144481	-16.577650
-6.855608	-27.127775
-9.480641	-30.964678
-13.418191	-37.333414
-19.324516	-47.019211
-25.230841	-56.899477
-26.707422	-59.174609
-28.184004	-61.510695
-30.398876	-62.837477
-31.229452	-63.013402
-32.475319	-63.232102
-34.344116	-63.504859
-37.147312	-63.578477
-39.950512	-63.032547
-41.246292	-59.953883
-40.545494	-57.355785
-39.844692	-55.047457
-39.143894	-52.771293
-38.443096	-50.522906
-37.391895	-47.199109
-36.997696	-45.992137
-36.406399	-44.538594
-35.519447	-42.962039
-34.189026	-40.672293
-32.193390	-37.392051
-29.199936	-32.794527
-24.709755	-26.510814
-23.025938	-24.150701
-20.500212	-21.089627
-16.711622	-16.817898
-15.290902	-15.268313
-13.159821	-13.124484
-9.963198	-10.043680
-8.764464	-8.872887
-6.966365	-7.214656
-4.269215	-4.800801
-3.257784	-3.865918
-1.740637	-2.541746
0.586044	-0.497258
1.520715	0.471641
2.922721	1.761934
5.025731	3.724957
5.814359	4.485000
6.997302	5.568121
8.771716	7.544984
11.433338	13.418594
15.425770	21.362148
19.418201	28.139590
20.416311	29.941100
21.414419	31.869961
22.911581	34.750430
25.157324	39.204867
25.999477	40.895215
27.262709	43.435961
27.736420	44.395059
28.446987	45.842906
29.512836	48.075445
29.779301	48.616906
30.045763	49.158008
30.445456	49.994895
30.595343	50.296062
30.820169	50.785590
31.157412	51.598074
31.241722	51.781242
31.326033	51.979254
31.410343	52.190195
31.494654	52.422852
31.578964	52.635398
31.663275	52.915527
31.747585	53.147820
31.831896	53.427980
31.863512	53.479508
31.895128	53.624684
31.903032	53.574094
31.910936	53.690234
31.918840	53.653070
31.920816	53.730191
31.922792	53.639781
31.925756	53.647867
31.930202	53.649914
31.934649	53.637148
31.939095	53.627816
31.943541	53.615641
31.944653	53.612891
31.946320	53.599125
31.948820	53.603848
31.949759	53.592789
31.951164	53.598828
31.953276	53.592711
31.954067	53.596891
31.955254	53.587277
31.957033	53.596176
31.957701	53.585797
31.958702	53.595719
31.960205	53.591262
31.962458	53.606383
31.963303	53.596359
31.964571	53.610730
31.966473	53.612492
31.967186	53.622141
31.968254	53.619086
31.969858	53.637258
31.972265	53.647512
31.975874	53.671164
31.981289	53.685297
31.986704	53.693113
31.992117	53.689609
31.997532	53.772199
32.005653	53.660922
32.013775	53.774969
32.021896	53.683219
32.030018	53.809148
32.042198	53.745469
32.060471	53.876148
32.087879	53.881215
32.128994	54.046234
32.190666	54.167344
32.283173	54.449750
32.421928	54.799672
32.560688	55.215082
32.699448	55.585367
32.838207	56.011375
32.976967	56.384977
33.115726	56.815352
33.254486	57.210758
33.393246	57.587059
33.532005	57.871055
33.670765	58.123844
33.809521	58.233008
33.948280	58.259516
33.982971	58.303570
34.017662	58.342555
34.052349	58.346992
34.087040	58.325895
34.121731	58.274625
34.156422	58.169000
34.173767	58.095953
34.191109	58.001066
34.208454	57.849562
34.225800	57.454008
34.230137	57.300781
34.234474	57.163070
34.238808	56.935281
34.243145	56.666047
34.244228	56.576352
34.245312	56.487234
34.246941	56.336461
34.247547	56.266516
34.248463	56.123469
34.248806	56.066641
34.249321	55.971230
34.249516	55.932680
34.249588	55.917812
34.249695	55.894227
34.249859	55.858391
34.249920	55.845211
34.250011	55.825562
34.250103	55.807500
34.250126	55.803395
34.250149	55.799184
34.250172	55.795031
34.250187	55.791984
34.250206	55.788938
34.250210	55.788242
34.250214	55.787492
34.250217	55.786742
34.250225	55.785625
34.250233	55.783945
34.250237	55.783367
34.250240	55.782758
34.250244	55.782148
34.250248	55.781539
34.250252	55.780938
34.250256	55.780344
34.250259	55.779746
34.250263	55.779160
34.250267	55.778262
34.250275	55.776945
34.250290	55.774996
34.250305	55.772195
34.250336	55.768273
34.250374	55.763070
34.250439	55.757156
34.250530	55.752234
34.250671	55.749719
34.250877	55.748000
34.251190	55.747777
34.251663	55.756789
34.252365	55.789738
34.253426	55.857934
34.255009	55.955523
34.257389	56.059750
34.260956	56.144883
34.266308	56.194590
34.268318	56.205742
34.271328	56.209582
34.275845	56.230891
34.282619	56.229430
34.289391	56.217070
34.296165	56.072227
34.297436	56.130059
34.298706	56.196039
34.299976	56.191766
34.301247	56.143695
34.302517	56.067609
34.303787	55.941141
34.305691	55.601387
34.307598	54.981855
34.308075	54.777887
34.308552	54.542055
34.309265	54.114070
34.310337	53.168434
34.310604	52.897039
34.310871	52.585398
34.310974	52.462734
34.311123	52.269430
34.311180	52.195875
34.311264	52.081227
34.311295	52.037742
34.311344	51.970590
34.311378	51.919176
34.311432	51.839719
34.311447	51.819875
34.311459	51.799934
34.311474	51.779910
34.311485	51.759816
34.311501	51.739680
34.311516	51.719469
34.311527	51.699168
34.311546	51.668266
34.311577	51.620039
34.311623	51.541055
34.311691	51.404305
34.311718	51.350770
34.311756	51.264531
34.311783	51.197008
34.311813	51.126883
34.311825	51.091352
34.311840	51.055352
34.311855	51.018961
34.311871	50.982266
34.311882	50.945406
34.311897	50.908461
34.311913	50.871508
34.311928	50.834617
34.311939	50.797789
34.311962	50.742625
34.311993	50.659379
34.312042	50.532078
34.312115	50.335488
34.312225	50.036531
34.312386	49.611172
34.312634	49.087582
34.313000	48.617086
34.313549	48.422723
34.314377	48.700883
34.315613	49.521020
34.317471	50.694992
34.320259	51.829820
34.324440	52.763484
34.330711	52.753969
34.340118	52.928945
34.354229	53.340719
34.368340	53.368273
34.382450	53.422367
34.403618	53.462812
34.435364	53.537320
34.482986	53.662195
34.554424	53.854367
34.661575	54.144266
34.822304	54.595641
35.063396	55.247148
35.425034	56.245508
35.967491	57.686070
36.781174	59.813609
38.001701	62.985191
39.832497	67.604453
42.578682	74.349602
45.324871	80.905531
45.988583	82.591289
45.302036	80.066234
44.615486	77.749500
43.928940	75.437461
43.242393	73.155586
42.212574	69.724602
40.667843	64.738445
38.350746	57.797891
36.033649	51.306500
33.716553	45.000258
30.240910	35.786129
25.027443	22.662770
23.724077	19.575473
22.420710	16.439707
21.117344	13.398527
20.628582	12.194715
19.895437	10.493227
18.795721	7.941742
18.383329	7.241711
17.970936	6.478930
17.867838	6.318996
17.764738	6.095770
17.738964	6.042168
17.713190	5.999145
17.706745	5.976984
17.704329	5.974453
17.700705	5.983961
17.699799	5.984992
17.698893	5.990656
17.697987	6.005203
17.697760	6.009539
17.697533	6.015023
17.697308	6.022332
17.697081	6.033086
17.697023	6.036082
17.696966	6.039344
17.696882	6.045012
17.696796	6.051773
17.696712	6.060109
17.696627	6.070855
17.696543	6.085480
17.696457	6.106148
17.696394	6.126156
17.696329	6.151645
17.696266	6.183527
17.696203	6.222340
17.696138	6.268168
17.696075	6.320645
17.696011	6.379078
17.695915	6.476742
17.695772	6.639992
17.695557	6.899059
17.695234	7.262750
17.694752	7.678371
17.694025	8.097719
17.692936	8.347918
17.691303	8.388344
17.689671	8.206457
17.688038	8.014812
17.686405	7.791363
17.684772	7.574738
17.682323	7.308453
17.678650	7.056191
17.673138	6.874387
17.664871	6.777996
17.656605	6.746273
17.648338	6.735617
17.642139	6.732410
17.639814	6.729984
17.636326	6.734090
17.631096	6.745504
17.625864	6.756914
17.621941	6.766012
17.618017	6.777277
17.614094	6.788219
17.610170	6.796559
17.606247	6.801250
17.602324	6.802590
17.598400	6.801578
17.592516	6.797031
17.588102	6.802242
17.583687	6.807953
17.579273	6.810398
17.572653	6.800262
17.566032	6.786988
17.564377	6.786133
17.561895	6.785680
17.558170	6.781477
17.556774	6.780684
17.554680	6.780211
17.551537	6.777891
17.546824	6.772168
17.539753	6.760949
17.532684	6.750238
17.525614	6.739863
17.515009	6.720652
17.504404	6.700703
17.493799	6.681453
17.477890	6.651383
17.461983	6.619867
17.446075	6.589242
17.422215	6.549266
17.398354	6.509746
17.374493	6.469570
17.350630	6.426668
17.314838	6.354832
17.261150	6.240684
17.180618	6.065164
17.100086	5.881129
17.019554	5.810227
16.939022	5.516395
16.858490	5.449406
16.777958	5.254445
16.697426	5.080383
16.616896	4.894605
16.536364	4.724043
16.455832	4.541230
16.375299	4.373000
16.294767	4.189379
16.214235	4.009496
16.133703	3.827473
16.103504	3.749191
16.058205	3.661230
16.046879	3.589574
16.035555	3.634355
16.032724	3.656633
16.029892	3.594766
16.027061	3.587828
16.024229	3.627992
16.023521	3.646820
16.022814	3.637844
16.022106	3.626871
16.021399	3.653164
16.020691	3.685977
16.019983	3.681992
16.019806	3.697793
16.019629	3.715883
16.019453	3.739629
16.019276	3.753781
16.019098	3.755613
16.018921	3.760953
16.018744	3.775910
16.018568	3.812637
16.018435	3.846906
16.018303	3.884996
16.018169	3.929031
16.017971	3.997734
16.017820	4.062500
16.017672	4.141719
16.017523	4.234117
16.017372	4.339164
16.017223	4.454750
16.017075	4.579020
16.016926	4.712617
16.016775	4.854844
16.016626	5.005172
16.016478	5.164340
16.016329	5.334203
16.016178	5.514016
16.016029	5.703656
16.015881	5.903406
16.015730	6.115410
16.015581	6.340500
16.015432	6.578879
16.015284	6.832637
16.015133	7.097750
16.015078	7.200676
16.015022	7.304934
16.014965	7.410063
16.014881	7.568914
16.014755	7.812090
16.014629	8.063742
16.014503	8.323121
16.014315	8.720789
16.014126	9.121613
16.013937	9.516945
16.013748	9.895406
16.013559	10.252457
16.013275	10.721398
16.012993	11.142074
16.012709	11.518859
16.012424	11.851398
16.012142	12.138059
16.011717	12.444508
16.011292	12.656098
16.010866	12.779570
16.010441	12.868195
16.010015	12.873270
16.009378	12.754137
16.008421	12.410020
16.006987	11.710117
16.004835	10.601398
16.001606	9.216176
15.996763	7.903516
15.989498	6.911629
15.978602	6.380199
15.962257	6.186867
15.937740	6.119215
15.900966	6.044289
15.845802	5.915676
15.763058	5.712160
15.680314	5.502469
15.597569	5.294613
15.473453	4.986879
15.349337	4.668844
15.225220	4.352961
15.039044	3.926355
14.759783	3.274531
14.480520	2.613605
14.201258	2.072266
13.921995	1.401219
13.642733	0.736816
13.223840	-0.180250
12.804946	-1.101980
12.386052	-2.012559
11.757712	-3.162422
11.286457	-4.071086
10.815202	-4.908426
10.343946	-5.861816
9.872691	-6.800086
9.165809	-8.133602
8.900727	-8.307281
8.701917	-8.616695
8.503106	-9.035406
8.304296	-9.417637
8.006079	-9.995609
7.558754	-10.860391
7.556134	-11.154883
7.553513	-11.138027
7.550891	-11.091109
7.548271	-11.050047
7.544339	-11.020648
7.538442	-10.993863
7.536230	-10.987277
7.532913	-10.975992
7.532084	-10.972344
7.531254	-10.962922
7.530425	-10.955375
7.529595	-10.940184
7.529388	-10.935273
7.529181	-10.930211
7.528870	-10.921070
7.528559	-10.908117
7.528248	-10.888605
7.528170	-10.883340
7.528092	-10.877785
7.527976	-10.868465
7.527801	-10.850336
7.527626	-10.826137
7.527451	-10.794652
7.527320	-10.765953
7.527189	-10.731492
7.527058	-10.691117
7.526926	-10.645145
7.526795	-10.593535
7.526664	-10.536422
7.526533	-10.474734
7.526402	-10.409633
7.526270	-10.341613
7.526139	-10.271086
7.526008	-10.198977
7.525877	-10.126191
7.525745	-10.052883
7.525614	-9.979352
7.525483	-9.905434
7.525352	-9.831469
7.525221	-9.757840
7.525089	-9.684180
7.524958	-9.610395
7.524827	-9.535980
7.524696	-9.461012
7.524565	-9.385645
7.524434	-9.309316
7.524302	-9.231797
7.524171	-9.152445
7.524040	-9.071285
7.523909	-8.988570
7.523777	-8.903973
7.523646	-8.817457
7.523515	-8.728574
7.523384	-8.638332
7.523252	-8.546570
7.523121	-8.453305
7.522924	-8.311762
7.522728	-8.167535
7.522531	-8.024082
7.522334	-7.882820
7.522138	-7.745219
7.521941	-7.611641
7.521744	-7.484281
7.521547	-7.362996
7.521350	-7.247586
7.521153	-7.136785
7.520957	-7.031297
7.520760	-6.929785
7.520563	-6.831145
7.520366	-6.734297
7.520169	-6.637496
7.519973	-6.541273
7.519776	-6.444469
7.519579	-6.346438
7.519382	-6.246766
7.519186	-6.144770
7.518989	-6.042320
7.518792	-5.939680
7.518595	-5.837387
7.518398	-5.735832
7.518201	-5.635160
7.518004	-5.534578
7.517808	-5.435102
7.517611	-5.335766
7.517414	-5.235762
7.517218	-5.134203
7.517021	-5.030168
7.516824	-4.922664
7.516627	-4.810676
7.516430	-4.693047
7.516233	-4.568426
7.516037	-4.435344
7.515840	-4.292273
7.515643	-4.137707
7.515446	-3.970156
7.515249	-3.788816
7.515053	-3.591684
7.514856	-3.374848
7.514659	-3.133527
7.514462	-2.862750
7.514266	-2.558855
7.514069	-2.215395
7.513921	-1.936613
7.513773	-1.640738
7.513626	-1.326723
7.513478	-0.997871
7.513330	-0.645656
7.513183	-0.271922
7.513072	0.018156
7.512962	0.320484
7.512851	0.634418
7.512740	0.955574
7.512630	1.288180
7.512588	1.416156
7.512547	1.544227
7.512505	1.673012
7.512443	1.868066
7.512349	2.163051
7.512256	2.464980
7.512163	2.773848
7.512069	3.086195
7.511976	3.404617
7.511882	3.727664
7.511789	4.050957
7.511695	4.376266
7.511602	4.702043
7.511508	5.024137
7.511415	5.344840
7.511322	5.663348
7.511229	5.976359
7.511135	6.288133
7.511042	6.600285
7.510948	6.945344
7.510855	7.242551
7.510715	7.709492
7.510610	8.060973
7.510505	8.413863
7.510399	8.766000
7.510294	9.112855
7.510190	9.457633
7.510084	9.799449
7.509979	10.134773
7.509821	10.628453
7.509703	10.993844
7.509585	11.356441
7.509467	11.714141
7.509349	12.053281
7.509171	12.552719
7.509038	12.920152
7.508905	13.278813
7.508772	13.624590
7.508639	13.941711
7.508506	14.254047
7.508373	14.554688
7.508241	14.846711
7.508108	15.116617
7.507975	15.376805
7.507842	15.632699
7.507709	15.866941
7.507576	16.099738
7.507442	16.328523
7.507309	16.535934
7.507176	16.742582
7.507043	16.943023
7.506911	17.191453
7.506778	17.346523
7.506645	17.503547
7.506512	17.669516
7.506312	17.908516
7.506163	18.090453
7.506013	18.254766
7.505863	18.404348
7.505713	18.563801
7.505489	18.791668
7.505321	18.966957
7.505153	19.123176
7.504984	19.264617
7.504816	19.421926
7.504563	19.627477
7.504374	19.803773
7.504185	19.981773
7.503995	20.133234
7.503711	20.353547
7.503428	20.526910
7.503143	20.696852
7.502859	20.806754
7.502575	20.862336
7.502149	20.868945
7.501723	20.741805
7.501297	20.574852
7.500871	20.297484
7.500232	19.751602
7.499593	19.124184
7.498954	18.371371
7.497995	17.163594
7.497036	15.930160
7.496078	14.633672
7.495120	13.425141
7.493681	11.614258
7.491525	9.188062
7.489368	7.165359
7.487211	5.443340
7.483975	3.561371
7.480741	2.242715
7.477505	1.187266
7.472652	0.198613
7.465373	-0.598359
7.454453	-1.026645
7.438075	-1.211898
7.413507	-1.264660
7.376655	-1.305090
7.321376	-1.455512
7.266098	-1.567750
7.210820	-1.683320
7.127903	-1.866914
7.044985	-2.016215
6.962068	-2.203102
6.837692	-2.458203
6.713315	-2.727395
6.588940	-2.984645
6.464563	-3.229977
6.277999	-3.672504
6.091435	-4.082977
5.904871	-4.501090
5.858230	-4.688828
5.811589	-4.673711
5.741628	-4.829141
5.636685	-4.995730
5.531743	-5.239234
5.426801	-5.416488
5.387447	-5.553547
5.328417	-5.584715
5.269388	-5.709836
5.210358	-5.774484
5.188221	-5.875430
5.155017	-5.862898
5.130114	-5.906789
5.092759	-5.923633
5.055404	-5.979488
5.018049	-6.006418
5.008710	-6.061203
4.999371	-6.045117
4.985363	-6.037418
4.964351	-6.001578
4.959098	-6.032703
4.953845	-6.025012
4.945965	-6.020148
4.934146	-5.962160
4.922327	-5.943672
4.910507	-5.895172
4.898688	-5.878492
4.886868	-5.829668
4.875049	-6.069387
4.863230	-6.154641
4.851410	-6.211437
4.833682	-6.192781
4.829249	-6.209812
4.824817	-6.171938
4.820385	-6.139473
4.815953	-6.072570
4.811521	-6.017273
4.807088	-5.927656
4.802656	-5.848113
4.798223	-5.740137
4.793791	-5.650930
4.787143	-5.515137
4.782156	-5.335465
4.777170	-5.216301
4.772184	-5.152500
4.767198	-5.060598
4.762211	-5.194246
4.757225	-5.174320
4.752239	-5.140520
4.747252	-5.095523
4.739773	-5.114016
4.732294	-5.124703
4.724814	-5.178117
4.713595	-5.250184
4.702376	-5.341469
4.691157	-5.384012
4.674328	-5.484523
4.657500	-5.522824
4.640671	-5.588125
4.615428	-5.629531
4.590185	-5.700016
4.564942	-5.727770
4.527077	-5.815117
4.489213	-5.871379
4.451348	-5.951676
4.394551	-6.025340
4.337754	-6.135457
4.280957	-6.220035
4.195762	-6.355562
4.131866	-6.353219
4.067969	-6.476477
4.004073	-6.565055
3.940176	-6.679148
3.844331	-6.809996
3.748487	-6.978184
3.652642	-7.121754
3.508875	-7.360902
3.365108	-7.579660
3.221340	-7.831488
3.077574	-8.058367
2.933806	-8.291043
2.718156	-8.644102
2.556418	-8.912309
2.394680	-9.154863
2.232942	-9.428523
2.071204	-9.680188
1.909466	-9.936336
1.666859	-10.326375
1.484903	-10.557238
1.302948	-10.850758
1.120993	-11.135543
0.939038	-11.416531
0.666105	-11.847898
0.461405	-12.160191
0.256706	-12.442129
0.052006	-12.745957
-0.152694	-13.048023
-0.357393	-13.336738
-0.562093	-13.617980
-0.613268	-13.666258
-0.664443	-13.727559
-0.741205	-13.819363
-0.856349	-13.950168
-0.971492	-14.079031
-1.086636	-14.196203
-1.115422	-14.224824
-1.126217	-14.230902
-1.142408	-14.231676
-1.166697	-14.231715
-1.203129	-14.233090
-1.257777	-14.242516
-1.298763	-14.241246
-1.339749	-14.223184
-1.380736	-14.199480
-1.411475	-14.162957
-1.442215	-14.119254
-1.465269	-14.063117
-1.488324	-14.007168
-1.511379	-13.949582
-1.511739	-13.945414
-1.512279	-13.943766
-1.513090	-13.941129
-1.514306	-13.934195
-1.516129	-13.908797
-1.517953	-13.858910
-1.519777	-13.776035
-1.521600	-13.640844
-1.523424	-13.445098
-1.524108	-13.360523
-1.525134	-13.217629
-1.526672	-12.961809
-1.528211	-12.671020
-1.529750	-12.359316
-1.532058	-11.834414
-1.534366	-11.330754
-1.536674	-10.907625
-1.538982	-10.585461
-1.542444	-10.355031
-1.545906	-10.316582
-1.549369	-10.396520
-1.554562	-10.677211
-1.562351	-11.140918
-1.574036	-11.704391
-1.591563	-12.220785
-1.617853	-12.605520
-1.657289	-12.829098
-1.716442	-12.937133
-1.775596	-12.968312
-1.834749	-13.005961
-1.893903	-13.031262
-1.916085	-13.041344
-1.949359	-13.046324
-1.999270	-13.077820
-2.049181	-13.091730
-2.099091	-13.119086
-2.149002	-13.152879
-2.198913	-13.177211
-2.248823	-13.209473
-2.298734	-13.240227
-2.348645	-13.271844
-2.398556	-13.304723
-2.448466	-13.332777
-2.498377	-13.371473
-2.535810	-13.394680
-2.591959	-13.431453
-2.613015	-13.454828
-2.644600	-13.465121
-2.676184	-13.490762
-2.707768	-13.497199
-2.755144	-13.524152
-2.826208	-13.583918
-2.897273	-13.633969
-2.968337	-13.695059
-3.039401	-13.755816
-3.066050	-13.762070
-3.106024	-13.801496
-3.145998	-13.840277
-3.185971	-13.869141
-3.200961	-13.897922
-3.223446	-13.892121
-3.231879	-13.900598
-3.244526	-13.911406
-3.263498	-13.927266
-3.291956	-13.951426
-3.334643	-13.987785
-3.366658	-14.007789
-3.414680	-14.049230
-3.462703	-14.086242
-3.510725	-14.133770
-3.558748	-14.153879
-3.630782	-14.233852
-3.684807	-14.257707
-3.711820	-14.297543
-3.738832	-14.295930
-3.759092	-14.332363
-3.789481	-14.336824
-3.819870	-14.379727
-3.850260	-14.383648
-3.895844	-14.435324
-3.941427	-14.456379
-3.987011	-14.505039
-4.032595	-14.524875
-4.078179	-14.571215
-4.123763	-14.590348
-4.169347	-14.636523
-4.214931	-14.651871
-4.260515	-14.693172
-4.306099	-14.698129
-4.351683	-14.729746
-4.397266	-14.736703
-4.431455	-14.748602
-4.465642	-14.723406
-4.499830	-14.723512
-4.534018	-14.687691
-4.568206	-14.641438
-4.576753	-14.623676
-4.585300	-14.634766
-4.593847	-14.612082
-4.606668	-14.553762
-4.625898	-14.408266
-4.640321	-14.328418
-4.647533	-14.270973
-4.654744	-14.206828
-4.661956	-14.107215
-4.669168	-14.029148
