# Displacement (mm)	Force (kN)
-0.011398	-0.005758
0.034500	0.648359
0.069000	1.144305
0.103500	1.639328
0.155250	2.381750
0.232875	3.495367
0.349313	5.165727
0.523969	7.671133
0.785953	11.428898
0.738094	10.746148
0.048094	0.854055
-0.641906	-9.046648
-0.668094	-9.428484
0.043813	0.779961
1.423813	20.566312
1.196187	17.316375
-0.183813	-2.468141
-1.563812	-22.269820
-1.056188	-15.000320
0.647625	9.433125
3.407625	48.368563
1.832375	25.377359
-0.927625	-10.813680
-3.687625	-50.923586
-1.552375	-21.084937
1.811437	22.497852
5.951437	72.388758
1.908562	24.762391
-2.231438	-23.009305
-5.628562	-66.179039
-1.488563	-18.454453
3.535250	40.844711
6.944750	76.018453
1.424750	18.434734
-4.095250	-44.927422
-6.384750	-68.288789
-2.244750	-25.172648
2.369062	23.810172
9.269062	98.561711
9.005938	88.339492
7.280938	72.609492
5.555937	56.687312
3.830937	40.704281
1.243437	16.210859
-2.637813	-26.858516
-8.459687	-84.226664
-5.718438	-55.208516
0.144812	-0.321656
8.295438	94.574156
8.899187	84.939031
9.804812	92.960758
10.710438	99.830336
11.616062	106.327406
12.974500	115.491781
13.667063	118.750844
13.327453	115.386383
13.263776	114.904867
13.168262	114.080031
13.024988	112.859320
12.810080	111.048133
12.487716	108.408078
12.165352	105.796461
11.842989	103.184570
11.359444	99.239086
10.634125	93.316859
9.546148	84.420766
7.914183	71.042281
5.466234	50.870227
1.794311	20.173328
-3.713573	-31.714133
-11.975399	-103.124109
-13.959144	-111.863563
-13.700962	-109.382125
-13.442780	-107.232867
-13.184598	-105.152133
-13.120052	-104.727898
-13.055507	-104.222375
-12.958689	-103.461789
-12.922381	-103.189484
-12.867922	-102.762320
-12.847499	-102.609805
-12.816865	-102.370820
-12.770914	-102.013437
-12.701988	-101.477453
-12.598598	-100.673672
-12.443514	-99.468625
-12.210888	-97.662180
-11.861949	-94.952187
-11.338540	-90.886148
-10.553426	-84.783977
-9.375756	-75.622234
-7.609251	-61.852445
-4.959492	-41.078031
-0.984855	-9.254352
6.399129	61.016406
12.148158	98.656844
14.304044	114.261164
17.537872	133.617531
17.653669	132.700531
16.845213	126.093156
16.238871	121.418359
16.087284	120.292375
15.935699	119.130484
15.708320	117.407711
15.480942	115.716414
15.253563	114.046813
14.912495	111.563984
14.571427	109.129805
14.230359	106.706633
13.889291	104.287984
13.377689	100.633773
12.610287	95.149219
11.459183	86.911156
9.732526	74.524898
7.142542	55.857180
3.257565	27.523586
-2.569899	-17.841625
-11.311095	-93.335562
-14.416096	-107.794094
-15.580470	-114.906195
-16.744846	-121.198906
-17.909220	-126.379805
-16.926405	-118.261070
-16.635311	-116.271812
-16.344217	-114.159008
-16.053123	-112.084109
-15.616483	-109.033094
-15.179842	-106.031156
-14.743201	-103.039086
-14.088241	-98.514586
-13.105800	-91.725102
-11.632137	-81.529906
-9.421644	-66.194422
-6.105905	-43.065422
-1.132295	-7.555141
7.734369	67.074930
11.153726	82.965992
16.282761	117.835164
18.847279	131.346828
21.411797	140.399313
21.305946	136.731969
20.985380	133.933625
20.664816	131.222469
20.544605	130.198211
20.364286	128.708461
20.093811	126.537422
19.688095	123.398117
19.079523	118.943461
18.470951	114.667445
17.862379	110.584891
17.710238	109.611063
17.482021	108.155945
17.139700	106.056047
16.626219	102.937141
15.855994	98.262258
14.700658	91.241633
12.967654	80.679391
10.368149	64.796258
6.468890	40.755023
0.620002	3.645172
-8.153331	-64.080320
-11.443331	-77.932695
-16.378330	-108.569250
-17.612080	-114.470680
-18.845831	-120.854867
-20.079580	-126.203875
-21.930204	-132.843016
-21.607140	-130.016812
-21.491474	-129.228805
-21.448101	-128.893625
-21.383039	-128.449508
-21.285448	-127.735742
-21.139061	-126.730797
-20.919479	-125.199578
-20.590109	-122.999375
-20.260736	-120.820336
-19.931366	-118.724719
-19.437309	-115.612805
-19.313795	-114.912820
-19.190281	-114.141523
-19.005009	-113.048969
-18.727102	-111.379125
-18.310242	-108.930234
-17.684950	-105.217461
-16.747013	-99.674219
-15.340108	-91.336117
-13.229751	-78.821477
-10.064215	-59.984109
-5.315910	-31.413719
2.135009	15.914094
14.761182	103.732313
15.882432	97.541172
17.564306	107.705219
19.246181	116.094359
20.928057	123.467125
22.609932	129.241359
24.291807	133.375734
25.973682	135.346875
24.764912	124.976492
24.449560	122.409305
24.134209	120.015187
23.661182	116.799922
23.188154	113.842672
22.715126	111.140516
22.242100	108.662672
21.769072	106.296828
21.296045	104.046906
20.823017	101.815773
20.113476	98.424937
19.049166	93.371492
17.452698	85.737625
15.057997	74.292430
11.465945	56.982773
6.077868	30.723336
-2.004248	-10.735922
-14.127421	-86.948758
-18.612421	-97.404883
-25.339922	-126.204016
-24.978205	-121.271180
-24.557735	-118.781570
-24.137266	-116.414477
-23.506563	-113.178219
-22.875860	-110.129375
-22.245157	-107.160469
-21.299103	-102.640094
-19.880020	-95.926289
-17.751398	-85.750977
-14.558463	-70.554383
-9.769061	-47.612305
-2.584959	-12.518648
9.451380	55.082914
18.776897	92.584094
27.234825	117.130250
26.360558	110.419375
25.486290	106.295281
24.174889	100.955906
22.207787	93.029789
19.257135	81.110344
14.831158	63.137508
8.192190	35.883812
-1.766261	-6.669102
-16.703938	-89.540070
-21.878939	-95.670586
-25.760189	-111.517164
-29.641439	-123.719859
-29.388248	-120.672156
-28.417936	-115.636516
-27.447624	-111.534305
-26.477310	-107.609195
-25.021843	-101.741055
-22.838640	-92.933508
-19.563835	-79.689875
-14.651628	-59.812203
-7.283318	-29.775969
4.271701	19.532141
23.060892	102.723594
24.527142	98.253484
26.726517	106.606266
30.025579	115.389789
33.324642	120.410242
31.376295	108.477469
28.077232	97.217539
24.778170	86.161055
21.479107	75.105187
16.530514	58.341148
9.107622	32.944922
-2.026714	-6.680516
-18.728218	-83.365953
-24.593218	-89.663023
-26.792593	-97.340641
