# Displacement (mm)	Force (kN)
-25.844997	-61.819023
-24.016293	-55.619016
-21.273237	-47.047781
-17.158653	-35.691145
-15.615685	-31.665715
-13.301231	-26.372141
-9.829552	-18.930336
-8.527672	-16.199305
-6.574852	-12.393574
-3.645622	-6.918152
-2.547161	-4.855379
-0.899469	-1.920914
1.781678	2.831828
2.832082	4.911008
4.407687	10.305328
6.771095	23.381086
10.316207	40.917332
15.633875	64.290375
16.963291	70.958945
18.292709	77.642516
20.286835	87.738531
23.278023	103.066219
27.764805	126.487727
29.447348	135.137969
31.129892	143.685844
32.812435	151.496422
33.505020	151.867797
33.084385	148.078359
32.663750	144.777250
32.243114	141.567422
31.822477	138.192516
31.401842	134.710813
30.770887	130.401570
30.139935	126.169813
29.508980	122.570219
28.562550	117.985633
27.142904	110.996711
25.013435	100.739352
21.819231	85.001375
17.027925	62.408344
15.231186	53.762750
12.536077	40.949773
8.493413	22.220191
6.977414	16.594168
4.703415	5.610750
1.292418	-10.585496
-3.824079	-19.021328
-5.742765	-19.602340
-6.462272	-21.113137
-7.541533	-22.988223
-9.160424	-26.142523
-11.588761	-31.036039
-12.499388	-33.048766
-13.865328	-36.022273
-15.914237	-40.827152
-18.987602	-48.528777
-20.140112	-51.621109
-21.868879	-56.142387
-24.462030	-63.293840
-25.434464	-66.171828
-26.893110	-70.496047
-29.081081	-75.985125
-32.363037	-76.306680
-33.183529	-75.124625
-33.995983	-73.920078
-33.919064	-73.346852
-33.842140	-72.792117
-33.765221	-72.244164
-33.649841	-71.427766
-33.476768	-70.208523
-33.217159	-68.385430
-32.827747	-65.678906
-32.243629	-61.664344
-31.367453	-58.302148
-30.053188	-54.172094
-28.081791	-48.432770
-25.124695	-40.700996
-24.015783	-37.909469
-22.352417	-34.664914
-19.857367	-30.025922
-18.921722	-28.244453
-17.518257	-25.818305
-15.413059	-22.273285
-14.623610	-20.918156
-13.439436	-19.033238
-11.663175	-16.262395
-8.998782	-12.325121
-7.999636	-10.835352
-6.500916	-8.772996
-4.252835	-5.747703
-3.409805	-4.596707
-2.145259	-2.947824
-0.248441	-0.472777
2.902290	3.805434
4.094775	7.372211
5.883502	15.401438
8.566593	26.620371
12.591230	44.462258
14.100469	48.416355
15.609708	55.158180
17.118946	61.734883
19.382805	71.684289
22.778591	87.182617
27.872272	111.158430
29.145693	116.223383
30.419113	121.681023
32.329243	130.617664
33.045540	133.639813
34.119991	138.538094
35.731663	146.043406
37.343334	152.327625
37.044994	148.329234
35.433319	135.709656
35.030403	132.986766
34.627483	130.920469
34.224567	128.926883
33.821648	126.965063
33.418732	125.012820
32.814354	122.425555
31.907787	118.079516
30.547939	111.618516
28.508167	102.080656
25.448507	88.368047
24.301136	83.628859
22.580076	76.228789
19.998489	65.121219
16.126108	48.948973
14.673965	43.522758
12.495751	34.335793
9.228430	22.020934
8.003184	17.593340
6.165316	9.707383
3.408514	-1.895461
-0.726690	-16.895023
-2.277392	-12.984523
-2.858905	-13.357965
-3.731174	-14.484770
-5.039579	-16.199906
-7.002185	-18.878262
-9.946095	-23.221281
-11.050061	-24.980184
-12.706011	-27.576926
-15.189935	-31.731418
-16.121407	-33.272059
-17.518614	-35.572598
-19.614424	-39.169449
-20.400354	-40.478559
-21.579247	-42.525555
-23.347588	-45.738859
-26.000099	-50.733395
-26.994789	-52.785715
-28.486828	-55.806570
-30.724882	-60.627027
-31.564154	-62.721273
-32.823059	-65.590156
-34.711418	-66.782672
-35.419556	-66.529234
-36.481758	-65.837531
-37.924938	-64.366469
-37.825359	-63.668242
-37.725777	-62.987898
-37.576405	-62.008391
-37.352345	-60.541031
-37.016258	-58.330555
-36.512127	-55.058328
-35.755932	-52.038926
-34.621635	-48.706113
-32.920193	-44.071609
-30.368029	-37.904113
-29.410969	-35.594129
