# Displacement (mm)	Force (kN)
-0.005601	-0.001813
0.034500	0.562172
0.069000	1.053832
0.103500	1.544648
0.155250	2.280855
0.232875	3.385133
0.349313	5.041461
0.523969	7.525777
0.785953	11.251840
0.738094	10.577516
0.048094	0.772934
-0.641906	-9.045332
-0.668094	-9.428328
0.043813	0.690320
1.423813	20.279098
1.768812	24.299590
1.886188	25.475184
1.541188	20.937047
1.196187	16.372234
0.678687	9.518871
-0.097563	-0.803094
-1.261937	-17.617191
-1.358063	-18.643914
0.043875	0.605684
2.803875	39.126664
2.436125	30.999027
-0.323875	-3.076680
-3.083875	-41.638180
-2.156125	-26.929180
0.905813	10.632437
5.045813	58.934207
2.814188	32.231934
-1.325813	-13.277012
-5.465813	-59.390320
-2.394188	-25.814738
2.327750	23.885863
7.847750	76.943305
4.012250	39.723570
-0.127750	0.188676
-5.647750	-62.429027
-4.832250	-46.921039
0.859688	8.186441
7.759687	81.582422
9.484687	87.623703
8.790313	80.421688
7.065312	65.175043
5.340312	49.802789
2.752812	26.613160
-1.128438	-8.670922
-6.950313	-66.174172
-7.227813	-62.800281
-2.861407	-25.091855
2.107000	18.582676
6.691726	59.950402
8.410999	73.720906
10.989908	93.593234
13.568816	109.506852
13.786456	109.822812
13.464092	106.770016
13.343206	105.837523
13.161877	104.367625
12.980547	102.940211
12.799218	101.533258
12.617888	100.124711
12.345894	98.005211
11.937902	94.825258
11.325915	90.053398
10.407935	82.891094
9.030964	72.136297
6.965508	55.974871
3.867323	31.638672
-0.779954	-5.290953
-7.750871	-68.152406
-10.165871	-78.645617
-12.580871	-93.961016
-13.004129	-94.448227
-10.589129	-77.024219
-8.174129	-59.518047
-5.759130	-42.039883
-2.136629	-15.600617
4.239155	32.897430
6.858998	51.063105
10.788764	79.801758
12.262426	89.781789
14.472919	105.008172
16.683413	115.513664
17.106094	115.340773
14.895601	100.482648
12.685108	85.411875
10.474615	70.369477
7.158875	47.666430
2.185265	13.383090
-5.275149	-40.289430
-10.870461	-76.633211
-15.066943	-100.342406
-17.785694	-110.141570
-16.998854	-104.901234
-16.212013	-99.855828
-15.425173	-94.719898
-14.638332	-89.582047
-13.458072	-81.973602
-12.277811	-74.387641
-11.097549	-66.813703
-9.327159	-55.366918
-6.671572	-38.181289
-2.688191	-12.203523
4.017297	33.889801
14.971594	103.405617
15.656238	104.493305
16.340881	107.955562
17.367846	112.496336
17.624588	113.317953
17.881329	114.260937
18.266441	115.546289
18.844109	117.310109
19.710611	118.807781
21.010365	119.906125
21.040007	117.843445
19.577785	108.867969
18.115562	100.176297
16.653341	91.476227
14.460008	78.387602
11.170009	58.701031
6.235009	29.059816
-1.167490	-16.100773
-12.271239	-82.995844
-15.047176	-93.731227
-16.435144	-100.151891
-17.823114	-104.451102
-19.211082	-107.718063
-20.599051	-111.141297
-21.987019	-114.249516
-21.318996	-109.952594
-20.625011	-105.837727
-19.931028	-101.684516
-19.237043	-97.552227
-18.196068	-91.427297
-16.634602	-82.574359
-14.292405	-69.264813
-10.779110	-49.241504
-5.509167	-19.230105
2.831338	29.716219
16.844595	108.082656
18.596252	111.986984
20.347910	115.845773
22.099567	118.061289
23.851225	119.164469
25.602882	119.446117
25.083376	115.122328
23.769632	107.761992
22.455889	100.889461
21.142147	93.988016
19.171532	83.659125
16.215611	68.141984
11.781728	44.840828
5.130904	9.687125
-4.845332	-44.686566
-12.327508	-78.179383
-17.939140	-98.709563
-19.342049	-100.857656
-20.744957	-103.126078
-22.147865	-105.454844
-23.550774	-107.870383
-24.953682	-110.299727
