# Displacement (mm)	Force (kN)
-0.008835	-0.006125
0.034500	0.635867
0.069000	1.151781
0.103500	1.666750
0.155250	2.439203
0.232875	3.597820
0.349313	5.335680
0.523969	7.942266
0.785953	11.851727
0.738094	11.141930
0.048094	0.851086
-0.641906	-9.450352
-0.668094	-9.848484
0.043813	0.772164
1.423813	21.350313
1.196187	17.927109
-0.183813	-2.534336
-1.563812	-23.181047
-1.056188	-15.561750
0.647625	9.568062
3.407625	48.620484
1.832375	25.153500
-0.927625	-10.443594
-3.687625	-49.907398
-1.552375	-20.644531
1.811437	21.869352
5.951437	70.584344
5.013563	57.751516
3.978563	46.543906
2.943563	35.273625
1.391062	18.196211
-0.937688	-8.712586
-4.430812	-55.702922
-4.076063	-46.219750
-0.582938	-7.415055
3.880250	50.523164
6.599750	71.409070
5.564750	60.687641
4.529750	50.047914
2.977250	34.061242
0.648500	9.784078
-2.844625	-33.603664
-7.915687	-80.627195
-2.676000	-27.621547
3.204609	31.127820
9.754218	94.342242
8.608379	81.010984
6.970977	66.273992
5.333574	51.468469
2.877470	29.016961
-0.806685	-5.534289
-6.332918	-67.486594
-6.767083	-63.727926
0.186084	0.851195
9.846085	107.290375
12.261085	108.017102
13.323915	111.176031
10.908916	90.666938
8.493916	70.344453
6.078916	49.928008
2.456416	18.912977
-2.977334	-30.010266
-7.052647	-64.982211
-11.127960	-90.692680
-12.796727	-99.664797
-12.287313	-95.485438
-11.777900	-91.453922
-11.013779	-85.327609
-9.867597	-76.145453
-8.148324	-62.362711
-5.569416	-41.571016
-1.701053	-9.994414
5.273346	52.569422
10.868657	93.057812
12.966899	104.599297
15.065140	111.023313
17.163382	112.914102
17.687943	112.791391
17.787498	112.175062
17.262938	108.088320
16.738377	104.082133
16.213816	100.123430
15.426976	94.144320
14.246715	85.201250
12.476324	71.717453
9.820737	51.477398
5.837356	20.879523
-0.137715	-26.705055
-9.100321	-78.043297
-17.937073	-105.966141
-17.516951	-104.703391
-17.096828	-101.348031
-16.676706	-98.268062
-16.256584	-95.111828
-15.626402	-90.365539
-14.681127	-83.225000
-13.263214	-72.471969
-11.136346	-56.294648
-7.946043	-31.851180
-3.160590	5.743539
4.910389	69.311578
13.683722	104.998195
15.877055	107.148164
18.070389	110.306734
20.263721	111.348656
21.542946	110.832344
20.994612	106.713000
20.446280	102.773875
19.897945	98.839406
19.692320	97.401297
19.383883	95.179281
18.921227	91.858008
18.227243	86.868844
17.186266	79.385484
15.624802	68.118391
13.282605	51.226648
9.769309	25.703359
4.499366	-13.590367
-3.405548	-66.559719
-11.310464	-79.960242
-15.262921	-95.348625
-16.251036	-100.506469
-17.239149	-103.262453
-18.227264	-105.698984
-19.215378	-107.584391
-20.203493	-108.873063
-21.685665	-110.947422
-20.091078	-99.244422
-17.867821	-83.186211
-15.644564	-67.040000
-12.309678	-42.498391
-7.307349	-4.980109
0.231807	52.910133
13.533454	100.726469
16.858866	105.238266
20.184277	107.428031
21.431307	108.037336
23.301851	108.789312
25.172394	108.849703
24.957062	106.828187
23.086517	93.837328
21.215973	80.852945
18.410156	61.288930
14.201432	31.717188
7.888345	-13.252992
-1.581285	-68.377266
-11.050915	-79.524297
-20.520544	-100.394563
-22.887951	-109.229023
-25.255360	-109.954188
-24.377234	-103.285172
-22.009827	-86.486773
-19.642420	-69.735000
-16.091309	-44.206883
-10.764642	-5.389609
-2.774642	54.100617
10.627337	95.314391
14.084549	100.508687
17.541761	103.690687
22.727579	105.966938
26.616941	107.156109
28.075453	106.959531
29.736780	106.510523
28.916368	100.691508
27.685749	92.350953
25.839821	79.852375
23.070929	61.000027
18.917591	32.781930
12.687584	-9.973625
3.342572	-65.802867
1.006320	-67.586891
-1.329933	-70.466508
-4.834312	-74.288273
-8.338692	-77.903016
-11.843071	-83.157945
-15.347451	-91.343000
-18.851830	-98.615172
-22.356209	-104.109219
-25.860588	-107.134938
